Artista,Reproducciones,Oyentes,Biografía,Artistas Similares
0,37069,7861,"1. 0 is a black metal band from Iceland, consisting of:

D.G. - Guitars
TMS - Drums
S.S. - Vocals
Ö.S. - Guitars
H.K.F. - Bass 

They have released two full length albums to date; 2014's Null & Void, and 2020's Entity. <a href=""https://www.last.fm/music/+noredirect/0"">Read more on Last.fm</a>",
DJ Snake,35813995,1987395,"William Grigahcine, better known by his stage name DJ Snake, is a franco-algerian DJ, rapper and producer mixing hip hop and electronic music.

He is a Grammy-nominated producer and artist who debuted into the international scene with singles ""Bird Machine"" and ""Turn Down for What"" in 2013. ""Bird Machine"" is a collaboration with fellow French act Alesia. The single was picked up by Mad Decent, a Los Angeles-based record label run by Diplo, and released in February 2013. <a href=""https://www.last.fm/music/DJ+Snake"">Read more on Last.fm</a>","Martin Garrix, Jack Ü, Jonas Blue, David Guetta, Marshmello"
Maribou State,10786333,520478,"Maribou State is Chris Davids and Liam Ivory from Hertfordshire. Liam asked Chris to play bass for his band. When they moved up north to go to university, the band fell by the wayside and the pair began making electronic music in their home studio, forging a partnership that would soon become Maribou State.

In the summer of 2011 they were scouted by Fat! Records and put out their debut release, the 'Olivia' EP, which set a blueprint for Maribou State's trademark bass-heavy, melodic sound. <a href=""https://www.last.fm/music/Maribou+State"">Read more on Last.fm</a>","Catching Flies, George Fitzgerald, Tourist, Elder Island, Bonobo"
Xinobi,1041364,161086,"Xinobi is a part of a generation that grew up within the music-blog eruption fueled by Do It Yourself ethics. His sophomore album On The Quiet was up-fronted by the hits Far Away Place and Searching For (a collaboration with Lazarusman). A dance floor-focused story about the transition of many electronic musicians from punk rock & skateboarding into house music and about how dance-music can be a field for social conscious awareness. In the following years <a href=""https://www.last.fm/music/Xinobi"">Read more on Last.fm</a>","Moullinex, Gallago, Agoria, Klangkarussell, Eli & Fur"
Rhye,16509926,723348,"Rhye is the musical project of Toronto native Milosh. Originally conceived as a collaboration between him and Robin Hannibal of Danish electro-soul outfit Quadron, the project has evolved into a music collective led by Milosh and focused around its associated live band.   <a href=""https://www.last.fm/music/Rhye"">Read more on Last.fm</a>","Her, Neil Frances, Jamie Woon, Two Another, Låpsley"
Ash,13130944,823910,"There are 4 artists with this name.

1) Ash is an alternative rock band that formed in Downpatrick, Northern Ireland in 1992. The media originally pegged Ash's music as Britpop when the band first found mainstream success.

The current line-up of the group is as follows: Tim Wheeler (vocals and guitar), Mark Hamilton (bass guitar) and Rick McMurray (drums).

Ash's full-length debut ""1977"" was released in 1996 and followed 1994's mini album ""Trailer"". <a href=""https://www.last.fm/music/Ash"">Read more on Last.fm</a>","Feeder, Shed Seven, The Bluetones, Dodgy, Idlewild"
Guy Gerber,1046374,152232,"The man responsible for those ends of night moments on some of the most respected dance floors across the globe is more than likely Guy Gerber.

As cited in the UK dance floor bible Mixmag, his universally embraced single on Bedrock Records ""Stoppage Time"" became a stand out anthem at the likes of Cocoon at Amnesia, and Dc10 in Ibiza along with Secretsundaze in London. The single has surpassed the 5-digit mark in sales and continues to shift by the truckload and to appear on numerous compilations from artists as diverse as BPitch Controls Kiki <a href=""https://www.last.fm/music/Guy+Gerber"">Read more on Last.fm</a>","Guy J, Minilogue, Fideles, Mathew Jonson, Nu"
Fatboy Slim,41283105,2335693,"Fatboy Slim is a pseudonym of Quentin Leo Cook (b. 31 Jul 1963 in Reigate, Surrey - aka Norman Cook), an English big beat musician.

Quentin Leo Cook was educated at Reigate Grammar School. He started a punk fanzine titled Peroxide with his neighbour Andrew Thomas and art student Ian McKay (formerly Laidlaw). Contemporary with his publishing activities, he played drums in Disque Attack (a British new-wave-influenced rock band) for which he later performed lead vocals. <a href=""https://www.last.fm/music/Fatboy+Slim"">Read more on Last.fm</a>","The Chemical Brothers, Propellerheads, The Prodigy, Apollo 440, Groove Armada"
Thom Yorke,44311048,1504750,"Thomas Edward Yorke is an English musician who is the main vocalist and songwriter of the rock band Radiohead. A multi-instrumentalist, he mainly plays guitar and keyboards and is noted for his falsetto. He has been described by Rolling Stone as one of the greatest and most influential singers of his generation.

Yorke formed Radiohead with schoolmates at Abingdon School in Oxfordshire. Their 1992 debut single, ""Creep"", made Yorke a celebrity, and Radiohead went on to achieve critical acclaim and sales of over 30 million albums. <a href=""https://www.last.fm/music/Thom+Yorke"">Read more on Last.fm</a>","Atoms for Peace, Radiohead, Burial & Four Tet & Thom Yorke, Jonny Greenwood, Philip Selway"
El Búho,770587,61295,"El Buho aka Robin Perkins is an English musician living in Amsterdam.  

He is bridging the gap between Latin American rhythms, digital bleeps, owl bass and found sounds, inspired by Birds, Cumbia, the Andes, Bass, clicks & claps.

His radio show Rhythm and Roots on Groovalizacion radio is a fantastic introduction to sounds from all over the world and throws the Subtropikal nights in Amsterdam, lived a year in Buenos Aires, where unbeknownst to both, were both in the crowd of the famed ZZK parties, finding inspiration for what was to come. <a href=""https://www.last.fm/music/El+B%C3%BAho"">Read more on Last.fm</a>","Chancha Vía Circuito, Chancha Via Circuito, Umoja, Joaquín Cornejo, Yaima"
Gaullin,2682772,231735," <a href=""https://www.last.fm/music/Gaullin"">Read more on Last.fm</a>","Dwin, Dynoro, Chico Rose, Vize, LIUFO"
BICEP,11178270,506471,"Belfast-born/London-based duo Bicep (Matt McBriar & Andy Ferguson) are childhood friends who bonded over a shared love of dance music. In the decades since first meeting, aged 8, Bicep have become one of the world’s most avidly appreciated curators & producers of electronic music.

Recently hailed by the BBC as “one of the biggest names in UK dance”, Bicep continue to cement themselves as one of the defining global electronic acts of our times. <a href=""https://www.last.fm/music/Bicep"">Read more on Last.fm</a>","Overmono, Ross From Friends, DJ Seinfeld, George Fitzgerald, Mall Grab"
Jean-Michel Jarre,2829322,157579,"Jean Michel André Jarre (born in 24 August 1948, Lyon) is a French composer, performer and music producer, regarded as a pioneer of electronic music. He is well-known for huge outdoor shows which feature lights, projections, lasers and fireworks.

Jarre hold four Guiness World Records for biggest concert audience: Place De La Concorde (1979, 1 mil.), Rendez-Vous Houston (1986, 1.5 mil.), Paris La Defense (1990 2 mil.) and Oxygen in Moscow (1997, 3. <a href=""https://www.last.fm/music/+noredirect/Jean-Michel+Jarre"">Read more on Last.fm</a>",
Adam Beyer,1337082,174529,"Adam Beyer's music is synonymous with all that is exciting about techno. Having emerged as the figurehead of the hugely prolific Swedish techno scene, Beyer's focused and considered approach to his craft has worked to confirm his position as a globally recognized DJ and producer who headlines the worlds cutting edge clubs and festivals week-in-week-out. However life in music began for Beyer down in the grassroots; making the most of Stockholm's blossoming techno scene and working in the city's renowned Planet Rhythm record store. <a href=""https://www.last.fm/music/Adam+Beyer"">Read more on Last.fm</a>","Bart Skils, Layton Giordani, Pig & Dan, Wehbba, Charlotte de Witte"
Nicolas Godin,836242,117978,"Nicolas Godin (born 25 December 1969 in Le Chesnay near Paris, (Île-de-France / France) is a musician best known for his work with the band Air.

He plays bass guitar, acoustic guitar and electric guitar, and also provides vocals, including Vocoder vocals. <a href=""https://www.last.fm/music/Nicolas+Godin"">Read more on Last.fm</a>","JB Dunckel, Air, Sébastien Tellier, Bent, St. Germain"
Califato ¾,494533,19117," <a href=""https://www.last.fm/music/Califato+%C2%BE"">Read more on Last.fm</a>","La Plazuela, VVV [Trippin'you], Enrique Morente, Soleá Morente, Lole Y Manuel"
Rebūke,397922,66099,"If you want to arrive with a bang, you can’t do much better than Rebūke. A project forged in the white-hot atmospheres of the Irish underground music scene has ushered in the biggest breakout star of the last 18 months – and one of the most exciting new artists in years.

Rebūke is a DJ and producer creating something new and genuinely exciting. A soundclash of techno, house and rave records from the early ‘90s creates that elusive thing – a sound of his own. <a href=""https://www.last.fm/music/Reb%C5%ABke"">Read more on Last.fm</a>","Mossano, Argy, Kevin De Vries, Layton Giordani, Eli Brown"
Novalima,438363,60143,"Novalima is a production collective created in 2001 by four Peruvian musicians (Ramon Perez Prieto, Carlos Li Carrillo, Grimaldo del Solar and Rafael Morales) based in Barcelona, Hong Kong, London, and Lima. Its music is heavily driven by afro-peruvian and latin percussions, blended with downtempo, dub, broken and house beats. In 2003, the collective produced its debut album – novalima -, mixed at The Premises Studios in London, mastered in Sterling Sound, NY, and independently released in March of that year.  <a href=""https://www.last.fm/music/Novalima"">Read more on Last.fm</a>","Thornato, Chicha Libre, Los Destellos, Sidestepper, Bomba Estéreo"
LOUTA,1826589,67938,"LOUTA es el nombre artístico de Jaime Martín James, un cantante, compositor, productor, DJ y artista plástico argentino que nació en Buenos Aires el 22 de junio de 1994. Hijo de la bailarina Ana Frenkel y del director teatral Diqui James, LOUTA comenzó su carrera musical como DJ y viajó a Europa a buscar inspiración. En 2016, lanzó su primer álbum homónimo, que lo dio a conocer al público como un referente del indie argentino. En 2018, publicó su segundo álbum <a href=""https://www.last.fm/music/Louta"">Read more on Last.fm</a>","Wos, Paco Amoroso, Conociendo Rusia, Zoe Gotusso, Tan Bionica"
Kerala Dust,1213973,95536,"KERALA DUST seeks to bridge that divide between electronic music and traditional songwriting.

Kerala Dust was formed in London in 2016. Growing up on the sounds of CAN, The Velvet Underground and Tom Waits while spending blurry mornings in nightclubs, the band combines those disparate influences of psychedelic rock, blues and techno into one. 

Kerala Dust are
Edmund Kenny on vocals/electronics
Harvey Grant on keys
Lawrence Howarth on guitar. <a href=""https://www.last.fm/music/Kerala+Dust"">Read more on Last.fm</a>","Stavroz, Iorie, Acid Pauli, Monoplay, Geju"
islandman,644457,58335,"Was born from the musical dreams of Istanbul based musician/producer Tolga Boyuk, Islandman represents a fiction character, a music persona, a dreamer composing the stories of a non -existing place…

Islandman performs on stage as an electro-acoustic live trio format. Their music can be described as a unique mix of mellow electronic structures & dance beats with spacey live guitars, backed up by shamanic rhythms.

The mixing idea during the record <a href=""https://www.last.fm/music/Islandman"">Read more on Last.fm</a>","Oceanvs Orientalis, Viken Arman, tetouze, Populous, beyhude"
Quantic,13584054,843711,"Quantic is an umbrella name for UK-born, Will Holland: acclaimed producer, musician and DJ for over 15 years evolving and involving styles like Funk & Jazz to Electronic & Folk music through to Latin, Reggae, Dub & Cumbia. Holland has released over ten full-length albums internationally through the label, Tru Thoughts, ...across six different projects ranging from his DJ/Producer/Remixer moniker that has packed dance floors from Bulgaria to Buenos Aires <a href=""https://www.last.fm/music/Quantic"">Read more on Last.fm</a>","Guts, The Quantic Soul Orchestra, TM Juke, Nightmares on Wax, Kid Loco"
DJ Dark,276072,35281,"Biografie
In 2008 lanseaza primul track produs in studioul Whiteeffect Studio ce se intituleaza “You gonna Fight” ce inregistreaza un succes neasteptat pe vremea aceea.In acelasi an o cunoaste si pe Dora care accepta sa fie vocea pentru al doilea single semnat “Dj Dark ft Dora – Someday”.
La inceputul anului 2010 incepe colaborarea cu postul de radio VIBE FM unde devine din ce in ce mai apreciat datorita dorintei sale de a oferi seturi cat mai pozitive ascultatorilor. <a href=""https://www.last.fm/music/Dj+Dark"">Read more on Last.fm</a>","Vanotek, Unklfnkl, Monoir, Qodës, Sianna"
Cerrone,2324276,274793,"Cerrone (full name: Jean-Marc Cerrone) (born 24 May 1952, Vitry-sur-Seine, near Paris, France) is an iconic and influential French European disco and dance pop drummer, singer, and music producer. Marc Cerrone has sold over thirty million albums. He claims, and it is often credited by others, that he was ""the first"" to put the kick drum (or bass drum) into the foreground of modern eurodance music.  At the age of 12, he started playing drums and listening to Otis Redding's songs. <a href=""https://www.last.fm/music/Cerrone"">Read more on Last.fm</a>","Gino Soccio, Chilly, Patrick Cowley, Imagination, Chic"
MEUTE,1578294,105388,"MEUTE is a Techno Marching Band - a dozen drummers and horn players from Hamburg/Germany who fulfil the job of a dj with their acoustic instruments. The archaic conglomerate of brass and drums creates a new genre by combining hypnotic driving techno and expressive brass band music. MEUTE detaches electronic music from the dj desk and evolves the thrust of energy on stage or directly in the crowd. No matter if in the countryside or in the club, with or without electricity – MEUTE runs. <a href=""https://www.last.fm/music/Meute"">Read more on Last.fm</a>","pølaroit, Zuma Dionys, Alex Christensen, Lynnic, Jacob Groening"
BLOOM,992719,85426,"There are at least thirteen bands with the name Bloom.

1. A force in Australian Metalcore, Bloom combine fierce sounds and impassioned lyrics to steadily build a concrete foundation through their passionate, conceptual projects. With a catalogue that focuses on grief, love and exile, Bloom partners their deeply emotive lyrical content with surging rhythms and memorable hooks to dynamically marry harrowing concepts and captivating listening experiences. <a href=""https://www.last.fm/music/Bloom"">Read more on Last.fm</a>","No Home, Casey, Tapestry, Like Moths to Flames, Counterparts"
Mijangos,22087,5387," <a href=""https://www.last.fm/music/Mijangos"">Read more on Last.fm</a>","Silvano Del Gado, Sparrow & Barbossa, Da Le (Havana), Oreja, The Deepshakerz"
Thievery Corporation,55011012,1712102,"Thievery Corporation is a Washington, D.C.-based recording artist and DJ duo consisting of Rob Garza and Eric Hilton and their supporting artists. Their music style mixes elements of dub, acid jazz, Indian classical and Brazilian (such as bossa nova) with a lounge aesthetic.

Thievery Corporation is on the Eighteenth Street Lounge record label named after the DC club owned by Eric Hilton, but several of their singles and EP's appear on the 4AD and !K7 labels. <a href=""https://www.last.fm/music/Thievery+Corporation"">Read more on Last.fm</a>","The Funky Lowlives, Sofa Surfers, Ursula 1000, The Karminsky Experience Inc., Hird"
Paul Kalkbrenner,22446061,647050,"Paul Kalkbrenner (1977) is a producer, DJ and actor from Berlin, Germany. He is signed to the famous Bpitch control label founded by Ellen Allien.

Starting as a trumpet player and studying music theory, Kalkbrenner later switched to electronic music. In 1999 he released his first tracks under the name of Paul dB+. As a live act, he performs using Ableton Live in combination with midi controllers and hardware synthesizers.

In 2008 he composed the sountrack for the German movie Berlin Calling in which he also is the leading actor. <a href=""https://www.last.fm/music/Paul+Kalkbrenner"">Read more on Last.fm</a>","Fritz Kalkbrenner, Sascha Funke, Kölsch, Marek Hemmann, NTO"
RL Grime,6130480,407533,"RL Grime is one of the stage names of Henry Steinway who also released music as Clockwork. He is part of WeDidIt Collective and label boss of Los Angeles' Sable Valley.

Los Angeles based producer RL Grime has risen the ranks to the forefront of what is undoubtedly the future of electronic music. He has released three studio albums, 2014's VOID, 2018's NOVA and 2023's triple pack PLAY.


http://rlgrime.com/
https://sablevalley.com/
http://www.wediditcollective.com/ <a href=""https://www.last.fm/music/RL+Grime"">Read more on Last.fm</a>","Juelz, Boombox Cartel, Quix, What So Not, Ekali"
Alef,153104,24734,"This page refers to 2 acts : 
Alex Farhat, producer from Athens, Greece with mediterraneen inspirationsA quartet (Sadato - saxes / synth / compositions; Gunn - guitars; Kato - bass / synth; Ishida - drums / percussion) that casts a very wide stylistic net in a determinedly Dadaistic fashion. They have only one album, Hajime! (1987) <a href=""https://www.last.fm/music/Alef"">Read more on Last.fm</a>","Catching Flies, Viken Arman, beyhude, Valentin Stip, Islandman"
Pomo,518907,85213,"Pomo is a Canadian born multi-instrumentalist now residing in Montreal, QC, Canada.
With absolute vigour, Pomo has taken the electronic music scene by the collar and dragged it back onto the dance floor with dreamy synths, glittery arpeggios, buoyant beats and twangy samples. There really is only one way to describe Pomo's music... 

Sunshine flavoured ice cream for the ears.

 <a href=""https://www.last.fm/music/Pomo"">Read more on Last.fm</a>","Moon Boots, Pat Lok, Moullinex, Midnight Pool Party, Chris Malinchak"
Bomba Estéreo,5063076,315155,"Bomba Estéreo is a (cumbia + electronic music) band formed in Bogotá,  Colombia in 2005 and led by Simón Mejía. In 2007 they released their debut album Vol. 1. 

Currently the band has finished promoting its second album  Estalla throughout Europe, Latin America and the United States, and is preparing the recording of a third album.

The original lineup consists of:
Simon Mejía, Songwriting, Bass, Loops and Backing Vocals.
Li Saumet, Lyrics, Lead Vocals. <a href=""https://www.last.fm/music/+noredirect/Bomba+Est%C3%A9reo"">Read more on Last.fm</a>","Systema Solar, Mitú, ChocQuibTown, Monsieur Periné, Aterciopelados"
Mark Alow,71164,12423,"Spanish producer Mark Alow is an emerging talent with an ear for deep grooves and organic melodies.

Early 2018 is when Mark’s swift ascension in the scene kicked off, beginning with the Golden Tiger EP on the praised Sol Selectas label. Complete with remixes by Uner and Robbie Akbal, the track White Tusk was received with acclaim and rose through the charts before settling in the top five deep house tracks on Beatport.

In March, Mark Alow released his the Nebula EP on Solar Distance. <a href=""https://www.last.fm/music/Mark+Alow"">Read more on Last.fm</a>","Gab Rhome, Helly Larson, Pablo Bolivar, Addex, Anthony Mea"
Moby,115260162,3170241,"Richard Melville Hall (born September 11, 1965), known professionally as Moby, is an American musician, songwriter, singer, producer, and animal rights activist. He has sold 20 million records worldwide. AllMusic considers him to be ""among the most important dance music figures of the early 1990s, helping bring dance music to a mainstream audience both in the United States and the United Kingdom."" After taking up guitar and piano at age nine, he played <a href=""https://www.last.fm/music/Moby"">Read more on Last.fm</a>","Röyksopp, Voodoo Child, Faithless, Schiller, Groove Armada"
Peces Raros,683174,38490,"
Peces Raros is an argentinian band that fuses tradition with future, mixing songwriting roots with a machine lenguage. Electronic music haunted by the rock ghost.
 https://www.instagram.com/peces.raros/
 https://www.facebook.com/peces/ <a href=""https://www.last.fm/music/Peces+Raros"">Read more on Last.fm</a>","Él mató a un policía motorizado, Bandalos Chinos, El Zar, El Kuelgue, Paco Amoroso"
Leon Vynehall,4298425,300225,"Leon Vynehall is British producer and DJ, born in Kent, in the south east of England. Vynehall's music combines the ""percussive energy of contemporary House music"" with ""rich harmonies of sample-centric producers"". Vynehall lists Aphex Twin, Afrika Bambaataa, Man Parrish and DJ Shadow as some of his major influences. <a href=""https://www.last.fm/music/Leon+Vynehall"">Read more on Last.fm</a>","Anthony Naples, Ross From Friends, Terekke, Joy Orbison, Laurence Guy"
Rodrigo Gallardo,314639,40106,"
 Rodrigo Gallardo has long been interested in the ""folkloric traditions"" of South America. El Origen is his attempt to incorporate these traditional sounds, rhythms and instrumental tropes into a contemporary electronic music setting. His original productions - all fluttering flutes, gentle acoustic guitars, warm electronics and evocative vocals are showcased on the A side, with pal and fellow Chilean Nicola Cruz. <a href=""https://www.last.fm/music/Rodrigo+Gallardo"">Read more on Last.fm</a>","Derrok, Satori (NL), Huaira, Vruno, Rubio"
Fukkk Offf,1667888,238538,"Fukkk Offf aka Bastian Heerhorst has been renowned for some time in his hometown for storming live sets in the clubs scattered around Hamburg's red light district. ""Die sündige Meile"" or ""the sinful mile"" as it is known has seen its walls shaked and thighs quaked by the throbbing depths of Bastian's big room Fukkk Offf Sound. Many a night you would witness the frustration on the faces of lonely old men as they realized that the brothels were empty. <a href=""https://www.last.fm/music/Fukkk+Offf"">Read more on Last.fm</a>","Boys Noize, Naeleck, Surkin, Cyberpunkers, Vitalic"
Nightmares On Wax,19654383,1113107,"Nightmares on Wax is DJ and musician George Evelyn, also known as DJ Ease (Experimental Audio Sample Expert), from Leeds, United Kingdom. The musical style is a combination of electronic sounds and hip hop beats, often regarded as ""chillout"". Nightmares On Wax's music is released on Warp Records.

Initially working with Kevin Harper a.k.a Boy Wonder their first release was the massive underground hit 'Dextrous' which sampled the as yet unknown A Guy Called Gerald's 'Voodoo Ray' on their own Poverty Records label. <a href=""https://www.last.fm/music/Nightmares+on+Wax"">Read more on Last.fm</a>","Tosca, Kruder & Dorfmeister, Fila Brazillia, Kid Loco, Thievery Corporation"
Monetochka,1337073,50354,"Monetochka (Russian: Монеточка, lit. 'Little Coin') is the stage name of Elizaveta Andreevna Gyrdymova (Russian: Елизавета Андреевна Гырдымова, born 1 June 1998 in Yekaterinburg, Russia), a Russian singer-songwriter.
Gyrdymova was born on 1 June 1998 in Yekaterinburg. From childhood, Gyrdymova enjoyed writing poetry and published her work on the site Stihi.ru as a teenager.

In 2014, she entered tenth grade at the Specialized Educational and Scientific Center of the Ural Federal University. <a href=""https://www.last.fm/music/MONETOCHKA"">Read more on Last.fm</a>","Moya Mishel, Alla Pugacheva, Grechka, Egor Kreed, hofmannita"
CLUBZ,1435550,86713,"Orlando Fernández and Coco Santos are the headmasters behind this project that originally started out in Monterrey, Nuevo León, México. This duo started back in 2013 and became significant pioneers in reviving a nostalgic 80’s and 90’s vibe inside the Mexican musical scene. Clubz came to be one of the most innovative and authentic Hispanic artists recognized internationally by music media influencers like THE FADER, Stereogum, to mention a few. <a href=""https://www.last.fm/music/CLUBZ"">Read more on Last.fm</a>","young tender, Little Jesus, Camilo Séptimo, Noah Pino Palo, Reyno"
Herobust,652555,75595,"heRobust is a pseudonym of Atlanta, GA, USA, producer Hayden Kramer.  He makes a wide range of music including downtempo glitch hop, trap and dubstep.

Sites: Discogs <a href=""https://www.last.fm/music/heRobust"">Read more on Last.fm</a>","Monxx, Panda Eyes, What So Not, Flume, The Brig"
CA7RIEL,1990374,53688,"Catriel Guerreiro (Buenos Aires, 5 de diciembre de 1993)1​2​conocido artísticamente como Ca7riel, es un músico argentino polifacético. Actualmente lleva adelante una carrera solista, a la vez que integra el dúo Ca7riel y Paco Amoroso, junto a Ulises Guerriero.


Catriel nació en Buenos Aires, Argentina en el año 1995, en una familia de artesanos.

Cerca del 2011, forma la banda Astor y las Flores de Marte, junto a Ulises Guerriero en batería, Alan Alonso en voz, guitarras y samples y Felipe Brandy en voz y bajo. <a href=""https://www.last.fm/music/Ca7riel"">Read more on Last.fm</a>","Paco Amoroso, Ca7riel, Paco Amoroso, DJ Alex, Ca7riel & Paco Amoroso, Louta"
MD DJ,89856,12845," <a href=""https://www.last.fm/music/MD+DJ"">Read more on Last.fm</a>","Zeni N, Dj Dark, Dani Corbalan, Jay Aliyev, Alex Menco"
deadmau5,68566514,1952775,"Joel Thomas Zimmerman (born January 5, 1981), better known as deadmau5, is a Canadian progressive house, electro house and techno producer from Niagara Falls, Ontario. He is regarded as one of the world's most respected electronic music producers of modern times. In pop culture, he is known for wearing a large ""mau5head"" while performing at live events.

The deadmau5 discography is currently comprised of eight studio albums, eight compilation albums <a href=""https://www.last.fm/music/deadmau5"">Read more on Last.fm</a>","deadmau5 & Wolfgang Gartner, BSOD, kx5, No Mana, Melleefresh & Deadmau5"
Lucky Luke,2461809,201974,"There is more than one artist with this name, including: 
1) Lucky Luke was a Scottish indie folk band. 
2) Lucky Luke is a Lithuian artist. 
3) Lucky Luke is a German Rapper. 

1) Lucky Luke was a Scottish indie folk band comprising Simon Shaw, Morag Wilson, Lucy Sweet, Ian Murray, Eilidh Rodgers, Solveig Askvik, and John Hogarty. They released ""Patrick The Survivor"" (2005) and ""Travelling For A Living"" (2009). Some members went on to other bands. 

2) Lucky Luke is a Lithuian artist. 

3) Lucky Luke is a German Rapper.  <a href=""https://www.last.fm/music/Lucky+Luke"">Read more on Last.fm</a>","Tujamo, HVME, Vize, Lizot, Feder"
Kermesse,169274,28815,"Kermesse is a duo from Buenos Aires, Argentina. Pedro and Gurtz, became friends traveling and playing music with previous projects. In 2015 they found the moment to merge their ideas into a new aesthetic.   Their sound could be described as effervescent, colorful, with a catchy groove product of the fusion of electronic sounds with instruments and vocals.   They released on labels such as The Magic Movement, LNDKHN, Kamai Music, Serafin Audio, and more. <a href=""https://www.last.fm/music/Kermesse"">Read more on Last.fm</a>","Lagartijeando, Chancha Vía Circuito, Alexander Pierce, Santi & Tugce, Okuma"
Rival Consoles,6961298,313692,"Rival Consoles is Ryan Lee West. Born on November 1985, in Leicester, England, Ryan graduated from De Montfort University after experimenting with sound production. He made his debut Erased Tapes Records release in 2007 with the 'Vemeer' EP. 'The Decadent' EP would be his first release on the label as Rival Consoles.

In 2009, he featured 3 tracks on the split '65 / Milo' with label mates Kiasmos.  'IO', the first full-length release, was rereleased the same year. <a href=""https://www.last.fm/music/Rival+Consoles"">Read more on Last.fm</a>","Kiasmos, Apparat, Jon Hopkins, Gidge, PolyNation"
Rubio,770298,44527,"RUBIO is the personal project and artistic experiment of the renowned chilean drummer, producer and front-woman Francisca Straube. Emerges in early 2015 and mixes Pop, Hip- Hop, Electronic, Ambient and Ethnic music elements. During 2017, she came up to share - as a personal journal- a continuous series of five double singles, produced jointly with producer Pablo Stipicic and released by Jungla Music. “R”, “U”, “B”, “I”, “O” in 2018, followed by “La Llamada” and “Fábula”, embodies its first album: PEZ. <a href=""https://www.last.fm/music/Rubio"">Read more on Last.fm</a>","Francisco Victoria, Alex Anwandter, Marineros, Dënver, Javiera Mena"
Poshlaya Molly,1514654,49497,"Poshlaya Molly (Пошлая Молли)  (Vulgar Molly) is a Ukrainian band formed in 2016 by musician Kirill Timoshenko. The group is one of the most brilliant representatives of synth-punk in Ukraine, combining pop-punk with electronic music. <a href=""https://www.last.fm/music/Poshlaya+Molly"">Read more on Last.fm</a>","Valentin Strykalo, Vremya i Steklo, Иван Дорн, zhanulka, CLONNEX"
Traf,63196,9947," <a href=""https://www.last.fm/music/Traf"">Read more on Last.fm</a>","pølaroit, Petit Biscuit, Melokind, Emrod, MOKADO"
Babasonicos,1298033,48345,"Babasónicos' name is based on a tribute to Hindu prophet Baba combined with the name of a popular cartoon from the '70s. Singer Adrián Rodríguez, keyboardist Uma-T, guitarist Mariano Roger Sónico, bassist Gabo, percussionist Diego Uma, and drummer Diego Castellano recorded Pasto in 1992. That album included their hit song called ""De-generación."" As the popularity of this Latin rock group was growing, chances to play along with major bands came soon. <a href=""https://www.last.fm/music/+noredirect/Babasonicos"">Read more on Last.fm</a>",
Andrew Meller,67940,16090,"Andrew Meller is a former of 3 projects with over 80 releases behind and few top charts. 
He literally lifting the crowd to their feet with great choice of music and unique
technique. A great enthusiasm and energy that runs through his kits, not only recognized by
many clubs who employ him often, but also by many of his fans who regularly attend his 
performances. Andrew Meller has already become known to many by his unique style and the way he communicate with the crowd. His sets are painted with many different sounds of <a href=""https://www.last.fm/music/Andrew+Meller"">Read more on Last.fm</a>","Ron Costa, Vakabular, joseph ray, Deep Spelle, Dosem"
Las Ketchup,2155164,403488,"Las Ketchup is a 4-girl group (previously consisting of three sisters), whose members are Lola, Pilar, Lucía and Rocio Muñoz from Córdoba in Andalucia, Spain. They are the daughters of Juan Muñoz, a flamenco guitarist known as El Tomate (The Tomato). They took their name in honor of their father's nickname.

Prior to Rocio's addition to the group in 2006, the other three girls had success with their worldwide hit ""Aserejé"", also known as The Ketchup Song in 2002. <a href=""https://www.last.fm/music/Las+Ketchup"">Read more on Last.fm</a>","Los Del Rio, Sonia y Selena, In-Grid, Alvaro Soler, Ricky Martin"
Peter Cat Recording Co.,3166566,177829,"Peter Cat Recording Co. is a four-piece gypsy jazz/cabaret band formed in 2009, based in New Delhi and San Francisco. Initially started as the solo project of Suryakant Sawhney, the new lineup of the band went on to play numerous college festivals in 2010. They also played the finals of NLS Strawberry Fields, and released their debut album Sinema in January 2011. In 2012, they put out their second album Wall of Want. <a href=""https://www.last.fm/music/Peter+Cat+Recording+Co."">Read more on Last.fm</a>","The F16s, Prateek Kuhad, Parekh & Singh, Ritviz, LIFAFA"
Martin Jensen,4668438,446617,"Martin Jensen (born 29 September 1991) is a Danish DJ and record producer best known for the 2016 single ""Solo Dance"". His videos feature sounds sampled from viral videos and made into tropical house mixes. He has over 10 years of experience of being club DJ, in Sunny Beach.[1] In October 2016, he was ranked 82 out of the 100 best DJs in the world by DJ Magazine. <a href=""https://www.last.fm/music/Martin+Jensen"">Read more on Last.fm</a>","Sam Feldt, Mike Perry, Jonas Blue, Sigala, Cheat Codes"
Jody Wisternoff,1234398,130497,"Jody Wisternoff’s influence and contribution to dance music cannot be overstated.
Between breaking through to the DMC Hip Hop finals as a fresh faced 13 year old in 1986, and putting the finishing touches to his band’s fourth studio album in 2008 a lot has happened. His early 90’s act Sub Love were one of the largest draws on the UK Rave festival circuit and his hook up with Bristol dj Nick Warren in 1994 gave us Way Out West. With big singles <a href=""https://www.last.fm/music/Jody+Wisternoff"">Read more on Last.fm</a>","Braxton, 16Bl, Marsh, Luttrell, Jon Gurd"
