Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Kid Massive,103923,29869,"Hailing from Denmark with a signature style of driving but uplifting house, reflecting the many sounds and facets not only of house music but the entire electronic genre; Kid Massive’s winning crossover formula contains tight production skills, bouncy rhythms and an acute knowledge of what makes dance floors move. DJ/Producer/Trainer Addict Benjamin Pedersen has clocked-up premier support from key figures across the board including Roger Sanchez <a href=""https://www.last.fm/music/Kid+Massive"">Read more on Last.fm</a>","T. Ruggieri, Ultracity, The Drifter, Dutchican Soul, Darwin & Backwall"
Felix Laband,1283406,121178,"Felix Laband is an electronic music artist from Pietermaritzburg, South Africa.

He creates light, emotional, minimalist soundscapes by combining several styles, and samples from classical, jazz and old television recordings overlaid with instrumental performances by himself and other guest artists. His music has been described by his record label as ""indie-tronica"" and is similar in some ways to Boards of Canada and Iceland's múm.

Maritzburg-born, Durban-bred and Cape Town-based. <a href=""https://www.last.fm/music/Felix+Laband"">Read more on Last.fm</a>","Yosi Horikawa, Boris Blank, Bliss, Trentemøller, Valentin Stip"
Victor Porfidio,20162,6363," <a href=""https://www.last.fm/music/Victor+Porfidio"">Read more on Last.fm</a>","Andy Bianchini, Marina Diniz, Lukke, Angemi, Tom Ferro"
RAMZi,307084,32091,"There are multiple artists named Ramzi:

1) Ramzi is electronic musician and artist  Phoebé Guillemot, based in Montréal, Quebec.

Phoebé Guillemot’s parallel autonomous sci-fi RAMZI world is at once utopian and dystopian in the most wondrous, wide and red-eyed way, and these digital vine cutting expeditions span a vast and varied section of her own CGI’ed imaginary world of disorientating, bouncy hybrid genre experiments, heavily filtered samples <a href=""https://www.last.fm/music/Ramzi"">Read more on Last.fm</a>","Salamanda, DOC SLEEP, shinetiac, Perila, Natural Wonder Beauty Concept"
OSENS,1015,480," <a href=""https://www.last.fm/music/OSENS"">Read more on Last.fm</a>","mR. id, Momo Ryuk, Drinche, Kawtar Sadik, Ismailovic"
Gregor Tresher,1051156,150930,"In the field of electronic music, Gregor Tresher is by no means a debutant. For more than seven years the thirty-year old DJ and producer from Rhine-Main area gathered merits modernizing the algorithms of electronic music. It has been his ""Still EP"" in 2005 that upgraded him into the Champions League of European Techno producers and many highlight releases like ""Neon"", ""Full Range Madness"" or ""The Now People"" on labels like Great Stuff, Datapunk, <a href=""https://www.last.fm/music/Gregor+Tresher"">Read more on Last.fm</a>","Einmusik, Reinier Zonneveld, Oliver Huntemann, Solomun, Dominik Eulberg"
Jasmon,175694,32477,"Jasmon is a co-production of the Voss brothers who so far have also released albums as Lemongrass (Roland Voss) and Green Empathy (Daniel Voss).

In 2003 Jasmon released their smooth, relaxed and easy debut-album Gentle Flowers on Peacelounge Recordings, which is based on early  experiments with world music & electronic in the late eighties (it took them over a dozen years to develop into this unusual debut). The album was first released in Japan in a purely instrumental fashion. <a href=""https://www.last.fm/music/Jasmon"">Read more on Last.fm</a>","Tafubar, Green Empathy, Amun, Ielo, Yukiko Iiri"
Rovalio,366730,24220," <a href=""https://www.last.fm/music/Rovalio"">Read more on Last.fm</a>","Abdul Hannan, Atif Aslam, Talha Anjum, maanu, Young Stunners"
The Upbeats,1754998,119359,"Jeremy Glenn & Dylan Jones are Drum & Bass producers from Wellington, New Zealand. They broke onto the international scene with Slit/Fill Me In, released on BC Presents, but had a following in New Zealand before that, having released some 12"" singles on local labels and a full album (on CD) released in that same year.

Since, they've had a string of releases on established DnB labels, including Virus, Project 51 & Human. <a href=""https://www.last.fm/music/The+Upbeats"">Read more on Last.fm</a>","Noisia, Mefjus, Phace, Teddy Killerz, Misanthrop"
Joe Goddard,2764816,269121,"Joe Goddard (aka Ulysses), has been a somewhat inescapable figure of the past few years. As vocalist, percussionist and synth-wizard in Hot Chip, he's seduced listeners from both rock and dance spheres over the course of three albums, melding live instrumentation and electronics with an irresistibly twee aesthetic. The group have always been interested in the dance floor, as proven by their remarkably diverse additions to the Bugged Out! and DJ Kicks catalogue <a href=""https://www.last.fm/music/Joe+Goddard"">Read more on Last.fm</a>","Hot Chip, The Blessed Madonna, Tsha, Agoria, Caribou"
Ándrue,671,240," <a href=""https://www.last.fm/music/%C3%81ndrue"">Read more on Last.fm</a>","Emanuel Diaz, DJ Val, DO Passion, isiindahauz, OTTA Orchestra"
Hercules & Love Affair,1250583,110953,"Hercules and Love Affair is a musical project from New York formed in 2007 by DJ Andy Butler. From 2007 through 2010, members included Nomi Ruiz, Kim Ann Foxman and guest singer Antony Hegarty from the band Antony and the Johnsons. They are signed to DFA Records. Their single “Blind” was released on March 3rd, 2008, and their debut self-titled album (produced by Butler and Tim Goldsworthy) was released on March 10th, 2008. The album has been critically well-received and charted in the top 40 in several countries. <a href=""https://www.last.fm/music/+noredirect/Hercules+&+Love+Affair"">Read more on Last.fm</a>",
Admin,78293,12787," <a href=""https://www.last.fm/music/Admin"">Read more on Last.fm</a>","Retromigration, Eddie C, Nachtbraker, Inkswel, Joy O"
John Noseda,27481,5769," <a href=""https://www.last.fm/music/John+Noseda"">Read more on Last.fm</a>","Turbosh, THE DAWLESS, Compact Disk Dummies, Tony Igy, Sean Finn"
Silver Ivanov,2298,516,"BUSINESS INFO

Started on July 1, 1998
CONTACT INFO

m.me/silverivanov

worldup@worldupmusic.com

silver ivanov
MORE INFO

Genre
House Music

Band Members
Silver Ivanov

Hometown
Sofia

Record Label
King Street Sounds, Beatdown Music, Dutchie Music, Oh So Coy, Endless Music, World UP Records, Stereophonic, Erase Records, Heavenly Bodies, Mjuzieek Digital, MiniMarket, Stolen Soul, Perception

About
An old school soul with the new school flavour
DJ|Producer|Radio Host| <a href=""https://www.last.fm/music/Silver+Ivanov"">Read more on Last.fm</a>","DJ Burlak, Dimo (BG), Jerome Robins, Dilby, Mia Mendi"
Maajo,104598,19844,"Maajo is a rare tropical breeze from the cold north. The sextet is inspired by wanderlust, exotic mysticism, hedonistic travelling and David Attenborough. Maajo's beating heart is a modern club rhythm, circulating with traditional western and African instrumentation. The emotions reach far and wide, from a euphoric Balearic sunrise to a sweaty trek through the rainforest. <a href=""https://www.last.fm/music/Maajo"">Read more on Last.fm</a>","concept neuf, Gabriele Poso, Basa Basa, International Soleil Band, Shina Williams & His African Percussionists"
Tomu DJ,102058,12945,"Tomu DJ is an American producer and DJ best known for her self-released albums on Bandcamp. She imbues her music with a gentle yet driving emotional force, creating intricate but comforting melodies across her discography. Tomu draws inspiration from her inner self—her memories and her past—and seamlessly infuses these reflections into her music.

Since Tomu DJ began releasing original music in 2020 they’ve captured the attention of critics and journalists across the electronic music landscape. <a href=""https://www.last.fm/music/Tomu+DJ"">Read more on Last.fm</a>","DOC SLEEP, Natural Wonder Beauty Concept, Loraine James, Piotr Kurek, Rachika Nayar"
Miss Kittin,4956559,365501,"Caroline Hervé, known professionally as Miss Kittin, is a French electronic music producer, DJ, singer and songwriter. Since rising to prominence in 1998 for her singles ""1982"" and ""Frank Sinatra"" with The Hacker, she has worked with other musicians such as Chicks on Speed, Felix da Housecat and Golden Boy. She released her debut solo album I Com in 2004, a second, BatBox, in 2008, and a third,  Calling from the Stars, in 2013. She achieved international popularity with the singles ""Rippin Kittin"" and ""Screen Shower Scene"". <a href=""https://www.last.fm/music/Miss+Kittin"">Read more on Last.fm</a>","Miss Kittin & The Hacker, Vive La Fête, The Hacker, Felix da Housecat, Chicks On Speed"
SBTRKT,22586224,847188,"SBTRKT (pronounced ""subtract"") is the electronic music project of Aaron Jerome, a producer based in London. Initially know for the tribal masks he and his collaborators wore in their live performances, Jerome shed the masks in the run-up to this fourth album, ""The Rat Road."" 

SBTRKT debuted in 2009 with remixes of artists like Radiohead, M.I.A, Basement Jaxx (‘Scars’) and Franz Ferdinand (‘Send Him Away’). These remixes gained the attention of radio DJs and tastemaker blogs, leading to more releases on Brainmath label, Ramp and Young. <a href=""https://www.last.fm/music/SBTRKT"">Read more on Last.fm</a>","SBTRKT & Sampha, Jamie xx, Disclosure, Joy Orbison, James Blake"
Philou Louzolo,24311,5613," <a href=""https://www.last.fm/music/Philou+Louzolo"">Read more on Last.fm</a>","Elias Mazian, Ineffekt, Lövestad, Coloray, David Vunk"
Toro,83099,16920,"1- Toro is an Italian eurodance project consisting of Andrea De Antoni, F. Amato, Ilaria Godani and William Naraine.
Toro released the single "" Give Me Ecstasy""

2- Toro Guo Wei Yun (Traditional Chinese: 郭葦昀; Simplified Chinese: 郭苇昀; pinyin: Guō Wěi Yún), born Alvan Guo Yi Jun (Traditional Chinese: 郭一雋; Simplified Chinese: 郭一隽; pinyin: Guō Yī Jùn) on 2 October, 1981, better known only as Toro, is a Taiwanese singer and member of the boy band Typhoon and an ex-member of dance group Energy. <a href=""https://www.last.fm/music/Toro"">Read more on Last.fm</a>","Polocorp, ATC Coco, ATC Toro, ATC Nico, BAKV"
Sopik,53099,9025," <a href=""https://www.last.fm/music/Sopik"">Read more on Last.fm</a>","Alex Farell, Carv, SIKOTI, Luca Agnelli, Sara Landry"
Soichi Terada,1421178,91368,"Soichi Terada (寺田 創一, Terada Soichi) is a Japanese electronic music composer. He’s best known in the west for his work on the Ape Escape (サルゲッチュ, Saru Getchu) series. He also composed the Japanese version of the soundtrack to the PS2 game Fantavision and the Japan-only game Futari no Fantavision. Prior to his acclaim for video game soundtracks, Terada got some recognition for his early 90s house releases, primarily released on his own Far East recording label. <a href=""https://www.last.fm/music/Soichi+Terada"">Read more on Last.fm</a>","Shinichiro Yokota, Hiroshi Okubo, Kohta Takahashi, Hideki Okugawa, 境亜寿香"
Valdes,114276,9258,"VALDES nace como un dúo de pop electrónico formado en Córdoba por los hermanos Edu y Pancho Valdés. A comienzos de 2016 editaron su álbum debut (Valdes) a través del sello Discos del Bosque. Con canciones como ""Bailar sola"" o ""Únicos en el mundo"", ese primer trabajo mostró la potencia bailable y romántica de la música de Valdes.

2018 vio el nacimiento de Gris (Geiser Discos), segundo LP de la banda y un salto a nivel compositivo, con una atmósfera más relajada y alineada con el R&B y el soul. <a href=""https://www.last.fm/music/Valdes"">Read more on Last.fm</a>","anyi, Proyecto Gomez Casa, wiranda johansen, elmalamía, Piel Camaleón"
Stephen Kirkwood,26067,8102," <a href=""https://www.last.fm/music/Stephen+Kirkwood"">Read more on Last.fm</a>","blk., Leena Punks, Nourey, Chris Giuliano, Felix Leiter"
Bella Boo,447197,69663," <a href=""https://www.last.fm/music/Bella+Boo"">Read more on Last.fm</a>","Axel Boman, Session Victim, Octo Octa, Seb Wildblood, Gideön"
33 Below,179987,28873,"Growing up in small-town New Zealand, electronic producer Jack Laven, aka 33 Below, started playing around with music software, as a new creative outlet. Fast forward a couple of years and 33 Below is quickly becoming a familiar name in the vocabulary of electronic music fans around the world.

From DnB to emotional UKG, 33 Below has been pushing the envelope and developing his sound over the past couple of years, which has been presented in the form of his debut EP ‘Motions’. <a href=""https://www.last.fm/music/33+Below"">Read more on Last.fm</a>","Wes Mills, MPH, Rohaan, Pirapus, Fred V"
Genius Of Time,199571,39691,"Genius of Time (Alexander Berg & Nils Krogh) are two electronic music producers from Sweden making house music. <a href=""https://www.last.fm/music/Genius+Of+Time"">Read more on Last.fm</a>",
Sepalot,390350,63639,"Sepalot is a German beatmaker and producer, a prolific creator of hip-hop with a sprinkle of electro - or maybe electro with the soul of a hip-hop DJ, at times really nerdy, at times close to the main stream of pop.
With tours from Johannesburg to Sydney and from Moscow to the far ends of Bolivia, his sound feels at home worldwide. As a band member and producer of the group Blumentopf he released two Top Ten album, 2 Top Twenty albums and sold over 300 000 units.

For more inforamtion see http://www.sepalot.com.
 <a href=""https://www.last.fm/music/Sepalot"">Read more on Last.fm</a>","Deichkind, Elder Island, Outasight, Knowsum, Dendemann"
Two Are,16329,4061," <a href=""https://www.last.fm/music/Two+Are"">Read more on Last.fm</a>","Mode Apart, Q.U.A.K.E, Brosso, High On Mars, Bragken"
Kornél Kovács,831719,97506,"Kornél is a DJ and producer born in Budapest and based in Stockholm, Sweden. He runs the label Studio Barnhus together with Axel Boman and Petter Nordkvist . After landing a residency at the illustrious Paradise club in 2005, he became the host of the P3 Dans show on Swedish nation-wide FM radio. Baby Step, Down Since '92, Szikra and Pantalón are some of his most played tracks. In 2016 he released his first long player: ""The Bells"".  <a href=""https://www.last.fm/music/Korn%C3%A9l+Kov%C3%A1cs"">Read more on Last.fm</a>","Dee Montero, Hunee, Axel Boman, Leon Vynehall, Anthony Naples"
BVRNOUT,173670,30497," <a href=""https://www.last.fm/music/BVRNOUT"">Read more on Last.fm</a>","Kozah, SyENCE, Mia Vaile, Cjbeards, Nazaar"
Richie Hawtin,2268816,166117,"Richard ""Richie"" Hawtin (born June 4, 1970) is a British-Canadian electronic musician and DJ. A three-time DJ Awards winner, he became involved with Detroit techno's second wave in the early 1990s, and has been a leading exponent of minimal techno since the mid-1990s. He became known for his recordings under the Plastikman and F.U.S.E. aliases. Under the latter, he released his debut album Dimension Intrusion (1993) as part of Warp's Artificial Intelligence series. <a href=""https://www.last.fm/music/Richie+Hawtin"">Read more on Last.fm</a>","Richard Harvey, Plastikman, Robert Hood, F.U.S.E., Surgeon"
Atrey,485918,61880,"Atrey is an Electro artist and producer based in central Europe. He just released his debut album called Taste, which highlights a retro style heavily influenced by the music of the 1980s. Atrey's dynamic songs are fresh and nostalgic at the same time, ready to be included in big Hollywood motion picture soundtracks needing 80s styled tracks. From songs with vocals, like ""1988,"" to hip instrumental tracks like ""Who's That Lady,"" this music will effortlessly transport you back in time. <a href=""https://www.last.fm/music/Atrey"">Read more on Last.fm</a>","Orax, Kick Puncher, Nightstop, Kristine, Retouch"
James Flower,5494,2252," <a href=""https://www.last.fm/music/James+Flower"">Read more on Last.fm</a>","Brandon & Marshall, Holly North, Alice DiMar, Glückskind, Ceci"
Balthazar & JackRock,49247,10703,"Balthazar & JackRock’s are based in Bulgaria's capital – Sofia. Their career began in mid 90s and since then they have performed in numerous clubs and venues all over Europe, North America and Africa. Their sound is diverse and charged with energy. They have released original tracks and remixes on 1605, Bosphorus Underground, Neurotraxx, IAMT, Minuatures, Human Garden, Audio Elite, Binary 404, Diva, M-Vitamine and many other labels. Their production has been supported by international top artists such as Richie Hawtin <a href=""https://www.last.fm/music/Balthazar+&+Jackrock"">Read more on Last.fm</a>","Weska, Pablo Say, Loco & Jam, Sisko Electrofanatik, Timmo"
"Does It Offend You, Yeah?",11828886,596604,"Does It Offend You, Yeah? is an alternative/electronic band which formed in Reading, England in 2006. The band consists of James Rushent (vocals, guitar), Matty Derham (guitar, synthesizer), Chloe Duveaux (bass), Dan Coop (synthesizer) and Rob Bloomfield (drums). Guitarist Morgan Quaintance left the band in mid-2009. They released their first album, You Have No Idea What You're Getting Yourself Into on 24 Mar 2008. They released their second album Don't Say We Didn't Warn You on 14 Mar 2011. <a href=""https://www.last.fm/music/Does+It+Offend+You,+Yeah%3F"">Read more on Last.fm</a>","Late of the Pier, Hadouken!, Shitdisco, Klaxons, Friendly Fires"
Pugilist,96094,15577,"Pugilist is the alias of producer and DJ Alex Dickson from Melbourne, Australia. He releases multi genre bass music. <a href=""https://www.last.fm/music/Pugilist"">Read more on Last.fm</a>","Otik, Eusebeia, Forest Drive West, Peverelist, Martyn"
Aero Manyelo,20181,5334,"PAGES

http://www.facebook.com/aeromanyeloherbal3?sk=info
http://soundcloud.com/aeromanyelo-herbal-3-rec
http://aeromanyelo.blogspot.com
http://www.myspace.com/aeromanyelo
	
This is a humble-beginnings tale. The tale of Eric Manyelo (Aero Manyelo/Dj Aero) or Moera, as he’s affectionately called at home. Born in Zebediela, Limpopo in 1987, his family relocated to Ivory Park, when he was at the tender age of 5.

His passion for music can be traced back to the days when he used to steal his father’s radio and play at school functions. <a href=""https://www.last.fm/music/Aero+Manyelo"">Read more on Last.fm</a>","Dj Steavy, Pastor Mbhobho, Sparrow & Barbossa, Motip White, Meera (NO)"
22 Void Beats,14777,4294," <a href=""https://www.last.fm/music/22+Void+Beats"">Read more on Last.fm</a>","Lost Heroes, JASRXJ, TOMMYGUNNZ, Slanks, BEDO97"
Kollektiv Turmstrasse,4491725,281202,"Kollektiv Turmstrasse is a project initiated by the musicians Nico Plagemann and Christian Hilscher from Luebeck, Germany.

Both of them are linking not only their deep ambitions to electronic music with this project - they also link their passion for performing together. By the time the duo developed its pretty own stylistic presence in music, which makes their different inspirations and their sharing passion for electronic music absolutely audible. <a href=""https://www.last.fm/music/Kollektiv+Turmstrasse"">Read more on Last.fm</a>","Oliver Schories, Extrawelt, Marek Hemmann, Stephan Bodzin, Dominik Eulberg"
Tshegue,93564,15874,"In between the two, it couldn’t have worked better, a story of time concordance, a matter of energy, the essence to which they each fueled in their own way, the singular kind. Him, Nicolas Dacunha, a native of the Parisian suburbs and her, Faty Sy Savanet, born in Kinshasa, grew up in Lemba, the trendy district of the Congolese Capital. After landing nine years in the suburbs of Paris, they revealed themselves to the microphone as ‘Tshegue’ the combo of tribal, garage rock. <a href=""https://www.last.fm/music/TSHEGUE"">Read more on Last.fm</a>","KOKOKO!, Vaudou Game, The Souljazz Orchestra, Kolinga, Les Mamans du Congo"
Drvg Cvltvre,86587,11942,"drvg cvltvre is the nom de guerre for Vincent Koreman, who used to work under the alias RA-X, recording records for labels like KK, Bunker, Kommando 6 and his own Angelmaker records. drvg cvltvre's music is slow, doomy, broken disco and house, with lots of focus on hypnotic repetition and percussion. A lot of the music is made with electronic means, but defies unwritten laws in electronic music about arrangement, quantising and production. <a href=""https://www.last.fm/music/Drvg+Cvltvre"">Read more on Last.fm</a>","Ekman, Sawf, Black Merlin, Positive Centre, These Hidden Hands"
Raphael Mader,19532,5223,"Born in Munich, Germany in the mid 80s. Already as a teenager he started making music in his child's room, developing skills at producing, sound engineering and mastering on his own projects.

With his production Raphael wraps our consciousness into a pastel-colored fog that is an intense feeling of longing and fills our hearts with the bittersweet potion of melancholy. The music draws its compelling power from a melodic warmth that has almost the quality of a physical force. <a href=""https://www.last.fm/music/Raphael+Mader"">Read more on Last.fm</a>","Visual Impact, Matchy, Cook & Stans, Maria die Ruhe, Dabeat"
Artury Pepper,4959,393," <a href=""https://www.last.fm/music/Artury+Pepper"">Read more on Last.fm</a>","Odanis BSK, Omy Alka, Lizzy Parra, DEFRA, Anmily Brown"
The Funk Hunters,222831,33485,"In just a few short years, The Funk Hunters have built an international following, releasing music on labels around the globe and showcasing their signature high-energy DJ sets at some of the world’s most popular music festivals and clubs. The duo (Dunks & The Outlier) first teamed up because of a mutual love for “Hunting” good music, and today this passion still rings true as they continue to champion the simple but often lost idea that the music itself comes first, regardless of attachments to genre. <a href=""https://www.last.fm/music/The+Funk+Hunters"">Read more on Last.fm</a>","DJ 33, Lady Waks, The Floozies, Colombo, Basement Freaks"
E.VAX,350821,44281,"Evan Mast, or E*vax, is an electronic music artist.
He and his brother E*rock run the Audio Dregs record label. His first album, Parking Lot Music, was released on 4 April 2001. Mast's music is minimalist, using everyday sounds samples to create simple electronic beats.
E*vax is half of Ratatat, a New York based indie/electronic band. The other member is Mike Stroud.
He has released 7-inch singles on Static Caravan and Mold Recordings, along with Shudder To Think singer Craig Wedren. <a href=""https://www.last.fm/music/e.vax"">Read more on Last.fm</a>","Kunzite, MOKADO, Superpoze, Maribou State, Melokind"
SkiiTour,24710,4985,"SkiiTour are a dj/production/party-rockin duo hailing from the ski-bum capital of the world, Whistler, BC.

As men they couldn’t be more different. Tim is a proud ginger Canadian and a strict vegetarian when he’s sober. Then there is Canosis - an afro sporting New Zealander who once devoured 96 chicken wings in one sitting.

Musically, they’re totally on the same page. Originally collaborating in 2010, they have continued to develop their sound <a href=""https://www.last.fm/music/SkiiTour"">Read more on Last.fm</a>","Snackbox, Body Ocean, Honey & Badger, Bellecour, Wenzday"
Bitter Babe,29368,6320," <a href=""https://www.last.fm/music/Bitter+Babe"">Read more on Last.fm</a>","Same O, Sputnik One, Alex Wilcox, lila sky, Sha Ru"
Jepe,12775,4223,"Since his early beginnings in radio Jepe has built a solid resume in music. After much success as Johnwaynes he has continued to evolve into something new for the future. Always pushing himself to the absolute limit with elegance and flair, this tour de force of creative energy shows no signs of stopping anytime soon. As his discography continues to grow, you can only expect this new rising star to have a promising future. With bright new releases on Multinotes <a href=""https://www.last.fm/music/JEPE"">Read more on Last.fm</a>","Rick Sanders, Argia, Enui, Toto Chiavetta, Pandaro"
WUKONG,42975,6655," <a href=""https://www.last.fm/music/Wukong"">Read more on Last.fm</a>","Pauli Hausmann, Iliya Zaki, Songs To Your Eyes, Gregory Tan, Amadea Music Productions"
Vinyl Mode,4129,958," <a href=""https://www.last.fm/music/Vinyl+Mode"">Read more on Last.fm</a>","Moayad, Cosmicat, ntitled, Al Nather, DAFENCII"
Heiko Voss,96365,23478,"Heiko Voss is one half of Schaeben & Voss <a href=""https://www.last.fm/music/Heiko+Voss"">Read more on Last.fm</a>","Superpitcher, DJ Koze, Jürgen Paape, Reinhard Voigt, Michael Mayer"
Gramatik,14683665,494516,"Good music is felt not heard. Gramatik apparently understood that at an age of 3 according to his mother as she used to catch him glued to the radio in his older sister's room whenever there was an old funk or rhythm & blues joint on, tapping his leg on the floor along with the beat. Damn, talking about a sign on what will your child do when he grows up!

Parents got him taking piano lessons in the elementary music school when he was in 2nd grade <a href=""https://www.last.fm/music/Gramatik"">Read more on Last.fm</a>","Akshin Alizadeh, Kognitif, Brock Berrigan, The Cancel, Pretty Lights"
Mahony,11531,2536," <a href=""https://www.last.fm/music/Mahony"">Read more on Last.fm</a>","meikyo, Steffen Waltenberger Band, Floog, Arne Jansen Trio, The Gang Raw"
JakoJako,103157,18629,"It started with an urge to play with sound, a DIY synth, and a desire to know more. After several years buried in books, manuals and patch cables, JakoJako was performing her first live sets around Berlin, and spending every spare penny on Eurorack modules. The passion became all consuming, and in 2017, she left her nursing career to work at the legendary Berlin synth shop Schneidersladen, where’s she’s been sharing her knowledge of tools and techniques with the city’s music makers ever since. <a href=""https://www.last.fm/music/JakoJako"">Read more on Last.fm</a>","Lucrecia Dalt, Salamanda, Regent, Whatever The Weather, MPU101"
Idreesi,69749,3772," <a href=""https://www.last.fm/music/Idreesi"">Read more on Last.fm</a>","Zaid Khaled, Ayloul, Bisher بشر, Luay Hijazeen, Autostrad"
Dallo,14200,1547," <a href=""https://www.last.fm/music/Dallo"">Read more on Last.fm</a>","Wael el Fashny, Dina El Wedidi, Wingii, Eldab3, Shahyn"
Map.ache,140745,16719,"Map.ache is Jan Barich, a Leipzig-based DJ-producer

For the country folk duo see: Mapache

2) Hippie-centric California duo combines languid acoustic melodies with outstanding harmony vocals. And are called Mapache. (note the difference!) <a href=""https://www.last.fm/music/Map.ache"">Read more on Last.fm</a>","Edward, Traumprinz, Dwig, DJ Metatron, Kettenkarussell"
Tamer ElDerini,3426,827," <a href=""https://www.last.fm/music/Tamer+ElDerini"">Read more on Last.fm</a>","Anis Karek, Rialians on Earth, Obeidmusic, Recham, 84 Avenue"
Elport,42091,7978," <a href=""https://www.last.fm/music/ELPORT"">Read more on Last.fm</a>","mitte, Paul Flint, ÉWN, Sk-Hall, inukshuk"
Surgeons Girl,90855,24423,"Surgeons Girl is the project of Sinead McMillan (Face + Heel). Surgeons Girl released her debut EP A Violet Sleep on Livity Sound in 2020. <a href=""https://www.last.fm/music/Surgeons+Girl"">Read more on Last.fm</a>","brainwaltzera, Jennifer Loveless, Cocktail Party Effect, Nathan Fake, Rival Consoles"
Oski,368689,44919,"It’s no coincidence that when the now 19 year-old Oski dropped his first track just a year ago, Australia’s east coast was forecast to be hit by an earthquake—this bass-lover’s tracks caused waves not just around the country, but internationally too. Debuting after a tedious four years of perfecting his style, the tender youngster exploded quickly, fast becoming a favourite across Soundcloud, YouTube and the blogosphere. His bass-driven take on trap set the internet buzzing <a href=""https://www.last.fm/music/Oski"">Read more on Last.fm</a>","Taska Black, Just A Gent, Saka, Niviro, Alison Wonderland"
Kixnare,540402,21731,"Polish hip-hop producer best known for his remix of the 2005 j-live album The Hear After.
Kixnare comes from Czestochowa but it is in New York sounds that we feel at home. He became better known after producing
some tracks for Grammatik, Smarki Smark, Te Tris , Eldo, Szybki Szmal and „Junoudet”. He remixed whole J -Live’s album and lot’s of
other stuff from the golden era.
http://myspace.com/kixnare
 <a href=""https://www.last.fm/music/Kixnare"">Read more on Last.fm</a>","Daniel Drumz, Teielte, Globalny Odlot, Dinal, Smarki Smark"
rRoxymore,151120,33510,"rRoxymore is the project of Berlin-based French producer Hermione Frank, who makes music that feels at home in the club at 4 a.m., but her productions and DJ mixes pull in a diverse set of influences, whether it's far-flung jazz or woozy psychedelia. Starting out on conceptual artist Planningtorock's label Human Level in 2012, she's since released with a slew of forward-thinking electronic labels, including Cómeme and Huntleys & Palmers, and remixed The Knife. <a href=""https://www.last.fm/music/rRoxymore"">Read more on Last.fm</a>","Galcher Lustwerk, Batu, Otik, Elkka, Anthony Naples"
Leftfield,9217859,814367,"Leftfield are an electronic band formed in 1989 in London, United Kingdom. From 1989 to 2002, Leftfield was a duo of artists and record producers that consisted of Neil Barnes and Paul Daley. In January 2010, Barnes resurrected the band name and Daley has declined to be involved. They are pioneers in the fields of IDM and progressive house, being among the first to fuse house music with dub and reggae.

As with many of their contemporaries such as The Chemical Brothers and Underworld <a href=""https://www.last.fm/music/Leftfield"">Read more on Last.fm</a>","Orbital, Underworld, Fluke, The Orb, The Chemical Brothers"
Mascota,17850,1483,"Miroslav Petkov, a.k.a. MASCOTA, started his career as a DJ in 1998 in his home town playing different styles – dance, pop & r’n’b. Later on, in 2001 he became a pro DJ in Sofia, the capital of Bulgaria. His style can be defined as very impulsive, energetic and melodic blending deep, funky, groove and tech sounds.

In 2009 Mascota becomes a resident in the best chain Bulgarian clubs BEDROOM (Sofia, Sunny Beach). Participated in some projects with D-Trax, Crazibiza, Ruben Alvarez, Luigi Rocca and Mr. <a href=""https://www.last.fm/music/Mascota"">Read more on Last.fm</a>","Deep Zone Project, Dimo (BG), Mascota & D-Trax, Itzo Hazarta, David DeeJay"
Clorofila,103473,14445,"Clorofila is one of the founding members of Nortec Collective and is now recording and performing solo, since the Collective which took an indefinite hiatus from recording and touring together in early 2008.

He recorded and released a solo album ""Corridos Urbanos"" <a href=""https://www.last.fm/music/Clorofila"">Read more on Last.fm</a>","Hiperboreal, Nortec Panoptica Orchestra, Fussible, Bostich, Nortec Collective Presents: Bostich+Fussible"
Hudson Mohawke,7507451,500962,"Hudson Mohawke, (b. Ross Birchard), also known as Hud Mo, is an Electronic music producer/DJ from Glasgow, Scotland, affiliated with the LuckyMe collective of musicians and artists. He is signed to Warp Records and G.O.O.D. Music. Hudson released his debut album Butter in October 2009.

At the age of 15, Birchard, under the name DJ Itchy, was the youngest ever UK DMC finalist. His earliest gigs as a club DJ were with Glasgow Uni's Subcity Radio where <a href=""https://www.last.fm/music/Hudson+Mohawke"">Read more on Last.fm</a>","TNGHT, Rustie, Lunice, Iglooghost, Dorian Concept"
Zone+,23443,5358,"Bahraini born, Music producer & DJ. His sound consists of deep melodic grooves layered with hypnotic, emotional beats making the crowd move yet fly through his soundscapes
https://soundcloud.com/zone-plus
https://www.facebook.com/zoneplusmusic/ <a href=""https://www.last.fm/music/Zone%252B"">Read more on Last.fm</a>","Greg Ochman, Slow Nomaden, Rialians on Earth, Maxxim, Talemates"
Yagya,2821176,112813,"Icelandic producer Yagya (Aðalsteinn Guðmundsson) has been creating atmospheres through melody and sounds for more than a decade. A definitive member of the Thule Musik collective, Yagya also is known for his work as half of Sanasol and also the famed Plastic.

Yagya spends his free time creating music on his computer. He concentrates on atmospheres and moods and tries to reflect the beauty of the world around him in the sounds of his music. He seeks influence in the works of Gas <a href=""https://www.last.fm/music/Yagya"">Read more on Last.fm</a>","Nikosf., Dublicator, Intrusion, Upwellings, DeepChord"
