Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
TIK,128557,10408,"This is an incorrect tag for ТІК. If this non-artist appears in your charts, do Last.fm and yourself a favor. Fix your artist tags. <a href=""https://www.last.fm/music/Tik"">Read more on Last.fm</a>","Zhadan i Sobaky, Taras Chubay, Тара́с Чуба́й, Arsen Mirzoyan, Степан Гіга"
NAPA,175679,6193," <a href=""https://www.last.fm/music/NAPA"">Read more on Last.fm</a>","Cassete Pirata, Carl Karlsson, Conjunto Cuca Monga, Luís Severo, Francisco Fontes"
Stereossauro,95996,6303," <a href=""https://www.last.fm/music/Stereossauro"">Read more on Last.fm</a>","Regula, Classe Crua, Orelha Negra, Mind Da Gap, Chippie"
Triggerfinger,3027307,179779,"Triggerfinger is a Belgian rock band from Antwerp, Belgium, formed in 1998 with an international sound which appeals to both younger people, who recognize Queens Of The Stone Age and old rockers, who are reminded of Led Zeppelin. Triggerfinger receives rave reviews from the media. One such review claims Triggerfinger's live show makes about 500,000 other so-called rock bands instantly redundant.

Triggerfinger consists of three talented musicians: singer/guitarist Ruben Block (Sin Alley and Angelico) <a href=""https://www.last.fm/music/Triggerfinger"">Read more on Last.fm</a>","The Black Box Revelation, Absynthe Minded, Admiral Freebee, Gorki, dEUS"
The Hatters,2055895,52925,"There are at least three artists named ""The Hatters"": 1) A Russian folk rock band from Saint Petersburg; 2) A 1990s jam band; 3) A 2000-'10s garage punk band from Brighton, UK.

1) THE HATTERS appeared on the musical stage not so long ago, but broke the stage from the very beginning! The band was established in the cultural capital of Russia - St. Petersburg. All the future band members gathered in the same city at the same time, coming from many different parts of the vast country. <a href=""https://www.last.fm/music/The+Hatters"">Read more on Last.fm</a>","Рудбой, Градусы, Dracondaz, Анимация, SQWOZ BAB"
The Gift,906786,59109,"1) Formed in 1994, The Gift was initially a side project of the Dead Souls, Nuno Gonçalves and Miguel Ribeiro’s band at the time. The evolution from one project to another was natural, as they felt the Dead Souls sound was limited by their instrumentation (guitar, drums and bass)and they wanted to experiment with new sounds and explore new musical paths.
In September 1994, Sónia Tavares, Nuno and John Gonçalves, Miguel Ribeiro and Ricardo Braga enrolled in the Bar Ben Music Competition in Alcobaça and took second place in the competition <a href=""https://www.last.fm/music/The+Gift"">Read more on Last.fm</a>","Ana Moura, Amor Electro, Tiago Bettencourt, Carolina Deslandes, GNR"
Yorsh,44124,4767," <a href=""https://www.last.fm/music/Yorsh"">Read more on Last.fm</a>","Tarakany!, Murakami, Vasya Oblomov, AloeVera, Sergey Trofimov"
Asper X,556856,15174," <a href=""https://www.last.fm/music/Asper+X"">Read more on Last.fm</a>","Stervell, Стимфония, 100 Атмосфер, LaScala, Sara"
Лили Иванова,77566,4751,"Лили Иванова (or Lili Ivanova) is the most significant name in the history of Bulgarian Pop Music. Born in  1939 she's an idol for more than three generations. The secret of this exclusive phenomenon is her magnificent, highly dramatic voice with brilliant cleanness and enormous vocal range. She is well known to Bulgarian and foreign reviewers as a standard for harmony of quality and outstanding professionalism.

Until now Lili has released 34 albums (two of them going gold), over 10 000 live concerts, over 600 songs. <a href=""https://www.last.fm/music/+noredirect/%D0%9B%D0%B8%D0%BB%D0%B8+%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0"">Read more on Last.fm</a>","Lili Ivanova, Васил Найденов, Маргарита Хранова, Орлин Горанов, Emil Dimitrov"
Cyan Kicks,809569,40551,"Cyan Kicks is an alternative rock band in Helsinki that has been in operation since 2016. The band combines heavy rock music, pop melodies and electronic instruments. The band signed a record label with the Finnish Ranka Kustannus label in June 2017 and the first single ""Feathers"" was released in July 2017. The band's second single ""Gasoline"" was released in January 2018 and is playing on the nationwide YleX radio channel. The group has been described as a promising export product in international media. <a href=""https://www.last.fm/music/Cyan+Kicks"">Read more on Last.fm</a>","Blind Channel, Smash Into Pieces, Halflives, Fifth Dawn, Bess"
Luís Severo,494380,14336,"It was under the name of O Cão da Morte that Luís Severo began a process of adolescent experimentation as a singer-songwriter, with various releases since 2009 that gave him a unique identity in the Portuguese music panorama. In 2014, he joined Coelho Radioactivo to present radiant songs and performances on the road as Flamingos. Finally, 2015 is the year in which O Cão Da Morte falls in love with the pop that he once tried out and now strengthens, being reborn in his birth name. <a href=""https://www.last.fm/music/Lu%C3%ADs+Severo"">Read more on Last.fm</a>","Cassete Pirata, Filipe Sambado, Conjunto Cuca Monga, Valter Lobo, Samuel Úria"
The Glorious Sons,1667810,108844,"The Glorious Sons is a Canadian rock band from Kingston, Ontario. Formed in 2011, the band signed with Black Box Recordings in 2013. Since then, The Glorious Sons have released one EP, Shapeless Art, and their debut album, The Union. The Union was released on September 14, 2014, and produced several hits on Canadian Rock Radio.

The band began recording their second full-length album, Young Beauties and Fools in Los Angeles in February and March 2017 with producer group Fast Friends. <a href=""https://www.last.fm/music/The+Glorious+Sons"">Read more on Last.fm</a>","Arkells, The Trews, Sam Roberts, The Sheepdogs, Headstones"
Ases Falsos,2360681,42601,"
Ases Falsos es una banda chilena de rock alternativo formada por Cristóbal Briceño, Simón Sánchez, Martín del Real, Francisco Rojas y Daniel de la Fuente. Desde 2005 hasta 2011 fueron conocidos bajo el nombre de Fother Muckers.​ A partir del abril de 2011, comienzan una nueva etapa como Ases Falsos, la que el guitarrista Héctor Muñoz abandonaría en marzo del 2012. El mismo Cristóbal Briceño explicaría en una presentación que ""terminamos de contar un cuento, que fue Fother Muckers, y ahora nos disponemos a contar otro"".



 <a href=""https://www.last.fm/music/Ases+Falsos"">Read more on Last.fm</a>","Fother Muckers, Teleradio Donoso, Los Mil Jinetes, Pedropiedra, Los Tres"
Dirty Shirt,261251,16260,"Dirty Shirt is a Romanian alternative/industrial metal band.
In the mid 90's, former members of a rock project (Eclipse) decide to form a new band, called Dirty Shirt. The first demo is released in '96, entitled “Alone”. Even if the main influences are from alternative and progressive metal, the band adds originality and its personal touch, including very heterogeneous elements.

For the following three years the band performs at several concerts and festivals in Romania, often winning important awards. <a href=""https://www.last.fm/music/Dirty+Shirt"">Read more on Last.fm</a>","Bucovina, E-an-na, Manapart, Zmey Gorynich, Eluveitie"
The Black Skirts,5680785,320109,"Redirect to http://www.last.fm/music/검정치마 which is the correct page <a href=""https://www.last.fm/music/+noredirect/The+Black+Skirts"">Read more on Last.fm</a>",
Melek Mosso,232082,16432,"11 Kasım 1988'de Kayseri'de doğdu. Müziğe yedi yaşında ilk bestesini yaparak başladı. Dokuz yaşında Denizli Belediye Konservatuvarı'nda bağlama ve Türk Halk Müziği dersleri almaya başladı. Daha sonra Güzel Sanatlar Lisesi'nde eğitimine devam etti. Lise döneminde yan flüt çalmaya başladı. Üniversite öğrenimini Adnan Menderes Üniversitesi Eğitim Fakültesi Müzik Öğretmenliği Bölümü'nde tamamladı. Öğrenim hayatı boyunca korist ve solistlik yaptı. <a href=""https://www.last.fm/music/Melek+Mosso"">Read more on Last.fm</a>","Bilal Sonses, Hande Mehan, Ece Mumay, Hande Ünsal, Tuna Kiremitçi"
Tim Akkerman,108171,12329,"Tim Akkerman is a singer-songwriter, who became famous in the Dutch rockband Di-rect. After the tour with their version of the rockopera Tommy by The Who, he decided to go for a solo-career. His first performance was the 23rd of August, 2011 at amusement park The Efteling in The Netherlands. His first album, Anno was released in november 2011.  <a href=""https://www.last.fm/music/Tim+Akkerman"">Read more on Last.fm</a>","Rolf Sanchez, Ed Struijlaart, Jacqueline Govaert, Niels Geusebroek, Tino Martin"
Laura day romance,293333,17545,"Laura day romance is an indie rock band hailing from Tokyo, Japan, known for their dreamy yet powerful sound. The band currently consists of three members: Inoue Kazuki (井上花月), the main vocalist and tambourine player, also the director for the band's art; Suzuki Jin (鈴木迅), the lead guitarist who contributes to songwriting and compositions; and Isomoto Yuuta (礒本雄太), the drummer. Former member Kawashima Kentaro (川島健太朗) left the group in 2022 after the release of their second album ""roman candles"". <a href=""https://www.last.fm/music/Laura+day+romance"">Read more on Last.fm</a>","chilldspot, tomoo, Homecomings, Chilli Beans., OKAMOTO'S"
Echo & the Bunnymen,28847077,1484755,"Echo & the Bunnymen are a British Post-punk band formed in Liverpool in 1978. The original line-up consisted of Ian McCulloch, Will Sergeant and Les Pattinson. There are many stories, probably apocryphal, that the quartet was completed by a drum machine known as ""Echo"".

By the time of their debut album is 1980's Crocodiles. Their next, the critically-acclaimed Heaven Up Here, reached the Top Ten in 1981, as did 1983's Porcupine and '84's Ocean Rain. <a href=""https://www.last.fm/music/Echo+&+the+Bunnymen"">Read more on Last.fm</a>","Ian McCulloch, The Psychedelic Furs, The Teardrop Explodes, Love and Rockets, The Church"
Davide Van De Sfroos,412176,9666,"Davide Van De Sfroos, al secolo Davide Bernasconi (Monza, 11 maggio 1965) è un cantante italiano che è riuscito a portare in buona parte d'Italia e nella Svizzera Italiana le sue canzoni in dialetto comasco. Musicista e scrittore, Davide Van De Sfroos si è imposto all'attenzione di pubblico e critica con il suo folk rock che abbraccia diversi stili e sconfina in altri generi. Attraverso testi che si confermano molto attuali, traccia uno spaccato dei paesi <a href=""https://www.last.fm/music/Davide+Van+De+Sfroos"">Read more on Last.fm</a>","De Sfroos, Mercanti Di Liquore, I Luf, Nanni Svampa, Cisco"
Octavia,111740,10643,"Octavia may refer to:
1) A rock band from Bolivia.
2) Octavia is a female Blues singer and Songwriter
3) The performance name of Octavia Lambertis.
4) The former name of Norwegian gothic metal band Octavia Sperati before releasing their debut album, ""Winter Enclosure"". The only release under this name is ""Guilty"" (demo) , released in 2002. All subsequent releases should be tagged as Octavia Sperati.

1) Octavia is a Bolivian rock band mixing straight forward rock elements with traditional instruments and melodies of Bolivia. <a href=""https://www.last.fm/music/Octavia"">Read more on Last.fm</a>","Llegas, Loukass, Deszaire, Atajo, Coda 3"
Sufle,797749,30799," <a href=""https://www.last.fm/music/Sufle"">Read more on Last.fm</a>","CanOzan, Sena Şener, Model, Yüzyüzeyken Konuşuruz, Dolu Kadehi Ters Tut"
Nicole C. Mullen,365108,42991,"Nicole Coleman Mullen (born June 26, 1967) is an award-winning singer, songwriter, and choreographer. She was born and raised in Cincinnati, Ohio. Mullen wrote her first song at the age of 12. She recorded her first solo album, Don’t Let Me Go, in 1991 with the independent label Frontline Records. Mullen continued her singing-songwriting-choreography career in the 1990s, singing backup for Michael W. Smith and for the Newsboys, writing for Jaci Velasquez, and working as a dancer/choreographer with Amy Grant. <a href=""https://www.last.fm/music/Nicole+C.+Mullen"">Read more on Last.fm</a>","Out Of Eden, 4HIM, Mark Schultz, Twila Paris, ZOEgirl"
Sam Hunt,8505289,436331,"Sam Lowry Hunt (born December 8, 1984 in Cedartown, Georgia, United States) is an American country singer, songwriter and former college football player. He is known for writing singles for Kenny Chesney, Keith Urban, and Billy Currington. In 2014, Hunt signed with MCA Nashville and released his debut album ""Montevallo"", which includes the number 1 Country Airplay hits ""Leave the Night On"" and ""Take Your Time"".

Sam Hunt co-wrote Kenny Chesney's 2012 hit ""Come Over"", for which he received an ASCAP award. <a href=""https://www.last.fm/music/Sam+Hunt"">Read more on Last.fm</a>","Russell Dickerson, Jordan Davis, Thomas Rhett, Florida Georgia Line, Lee Brice"
El Haragán y Compañía,415586,22314," <a href=""https://www.last.fm/music/+noredirect/El+Harag%C3%A1n+y+Compa%C3%B1%C3%ADa"">Read more on Last.fm</a>","Tex Tex, El Gran Silencio, Café Tacvba, Belafonte Sensacional, León Larregui"
hurtom,14137,1806," <a href=""https://www.last.fm/music/hurtom"">Read more on Last.fm</a>","Yarmak, SHUMEI, Tember Blanche, Арсен Мірзоян, Epolets"
Tuna Kiremitçi,176263,15667,"Tuna Kiremitçi, 24 Şubat 1973'te Eskişehir'de doğdu. İlk şiirleri, Galatasaray Lisesi'nde okuduğu sırada Varlık dergisinde yayımlandı (1991). 1994 yılında 'Yaşar Nabi Nayır Şiir Ödülü'ni kazandı ve aynı yıl ilk şiir kitabı olan 'Ayabakanlar' okuyucuyla buluştu.

1997'de 'Erguvan Balkan Şiir Ödülü'ni Bosnalı şair İzzet Sarayliç'le paylaşan Kiremitçi, sonraki yıllarda Varlık, Gösteri, Milliyet Sanat, Kitap-lık, Nar, Sombahar ve Aykırı gibi dergilerde şiir ve denemeleriyle göründü. <a href=""https://www.last.fm/music/Tuna+Kiremit%C3%A7i"">Read more on Last.fm</a>","Melek Mosso, Rengin, Sena Sener, Fatma Turgut, Nilipek."
Aeon Blank,18878,1791,"Aeon Blank is an alternative rock band with metal influences, darkwave and others. They formed officially in the spring of 2011. Initially there were only two members (Emil Luca and Alex Gabroveanu), but afterwards they started looking for other members and preparing their songs for live shows.
Members:
 Emil Luca - Voice and guitar
 Alex Gabroveanu - Guitar
 Alex Comarnicianu - Bass
 Bogdan Valentin - Drums
 Sorin Fratila - Keyboard

They recently (may 2012) released their first album, entitled ""Handmade Gods And Godmade Demons"" <a href=""https://www.last.fm/music/AEON+BLANK"">Read more on Last.fm</a>","Ana Coman, Toulouse Lautrec, :umbra, Grupul de rezistenta, jurjak"
Kingdom Come,2547904,154917,"Two bands exist called Kingdom Come - it is also an alias of Ron Allen, house music producer. 

For the first, see: Arthur Brown's Kingdom Come. Melodic hard rock band Kingdom Come was formed in 1987 by singer-songwriter Lenny Wolf in Hamburg, Germany, with the revolving cast of other band members soon leaving Wolf the focus. After the release of their first single, 1988's ""Get It On"", many fans mistakenly regarded the band as a Led Zeppelin reunion. <a href=""https://www.last.fm/music/Kingdom+Come"">Read more on Last.fm</a>","Nazareth, Ian Gillan, Ken Hensley, Gotthard, Axel Rudi Pell"
Batuhan Kordel,347779,16801," <a href=""https://www.last.fm/music/Batuhan+Kordel"">Read more on Last.fm</a>","Kendimden Hallice, Rei 6, yedinci ev, YunusEmre, Nasıl Derler Bilirsin"
TVORCHI,620695,56059,"TVORCHI is a music band whose name is getting louder and louder every day not only in the Ukrainian music industry but also beyond. 
Ukrainian Music Awards ""Zolota Zharptytsia"" winners Finalists of Ukrainian National selection for Eurovision 2020 Ukrainian TOP-chart leaders Within days, their music was being praised on social media by notable figures of Ukrainian and European music scene. In a bizarre sign of the band's growing popularity and implicit recognition of its easy-listening surface appeal <a href=""https://www.last.fm/music/TVORCHI"">Read more on Last.fm</a>","Khayat, YAKTAK, DOROFEEVA, The Hardkiss, Pasha Parfeny"
Romain Virgo,314863,45896,"In 2007, Romain Virgo made history as the youngest contestant ever to win Digicel Rising Stars, Jamaica's talent competition, at the age of 17. Virgo was sensational throughout the 2007 competition and outshone his opponents with singing skills that seemed to stretch beyond the talent of a 17 year old. 

Now two years later, his career definitely seems to be on the rise. His single Can't Sleep is still climbing up the Jamaican charts and already gained him attention outside Jamaica as well. <a href=""https://www.last.fm/music/Romain+Virgo"">Read more on Last.fm</a>","Christopher Martin, Tarrus Riley, Busy Signal, Chronixx, Jah Cure"
LaNuestra,23738,1632," <a href=""https://www.last.fm/music/LaNuestra"">Read more on Last.fm</a>","La De Roberto, Pipa para Tabaco, Paiko, Kchiporros, Bohemia Urbana"
TRASH,252844,37185,"There are multiple bands called Trash, notably one from Taiwan and another from Sweden:

1) TRASH (stylized in all capital letters) is a Taiwanese band formed in Taipei in 2009. They play a rock n' roll with brit pop or grunge influences.

They released their first eponymous album TRASH同名專輯 in 2012.
In 2021, they released their fourth  studio album Holy Trip!.

Lineup:
Lin Zhi-Rong (林志融) (a.k.a  Marz23): vocal, guitar
Lin Yi-yuan (林頤原): guitar <a href=""https://www.last.fm/music/Trash"">Read more on Last.fm</a>","茄子蛋, 220 Volt, Mentzer, Judas Priest, Gotham City"
The Vanns,467154,27480,"Born in the shadows of a Kiama garage, influenced by the old school blues and today’s new indie genre, they formed The VANNS.
The VANNS began jamming in the early months of 2012 and went onto win the 2012 Red Bull Bedroom Jam, which scored them a gig with The Getaway Plan at the Sydney Hi-Fi, recording time in Melbourne with Jan Skubiszewski (Way Of The Eagle) and a set at HOMEBAKE 2012.
Recently they were the band chosen as the focus of Vivid’s Ideas session ‘Access All Areas – breaking new artists in 2013’ <a href=""https://www.last.fm/music/The+Vanns"">Read more on Last.fm</a>","The Rions, Spacey Jane, The Terrys, Beddy Rays, Lime Cordiale"
Manel Cruz,96841,7468,"(http://www.manelcruz.pt.to/)

Nascido a 16 de Outubro de 1974, Manuel Gomes Coelho Pinho da Cruz, o primeiro de três filhos, Marta e Marcos, são o fruto da união de Manuela Coelho e Adão Cruz.

Manuel Cruz, ou como gosta que se lhe chamem, Manel, desde muito novo sempre teve apetência para as artes e chegou a entrar para a escola de Belas Artes no Porto. A sua primeira paixão foi a banda desenhada e durante os seus primeiros 18 anos de vida dedicou-lhe muito do seu tempo <a href=""https://www.last.fm/music/+noredirect/Manel+Cruz"">Read more on Last.fm</a>",
Old Mervs,616813,33291,"Old Mervs are an Australian independent rock group, consisting of David House and Henry Carrington-Jones. The duo have known each other since they were five years of age. They started performing together in 2017 and agreed to the name Old Mervs in 2018. Their name refers to the friends' childhood pet dog named Mervin. <a href=""https://www.last.fm/music/Old+Mervs"">Read more on Last.fm</a>","Rum Jungle, The Rions, The Terrys, Beddy Rays, The Grogans"
Brihang,480292,13265,"Brihang, born Boudy Verleye, is a Belgian rapper and hiphop artist, born in Knokke-Heist, West Flanders. He is known for rapping in his own West Flemish dialect. In 2016, his debut album zolangmogelijk was released on Fake Records. His single Steentje, from his second album CASCO, reached 'Gold' status. Brihang has been nominated multiple times for a MIA (Music Industry Awards in Belgium) and won his first MIA in 2024, with the album cover design of his third album Doomvoeding. <a href=""https://www.last.fm/music/Brihang"">Read more on Last.fm</a>","zwangere guy, Flip Kowlier, Tourist Lemc, Compact Disk Dummies, Het Zesde Metaal"
João Pedro Pais,118983,10400,"Começou a sua carreira em 1997 com o álbum ""Segredos"", em 1999, gravou ""Outra Vez"" e atingiu o disco de platina, ""Falar Por Sinais"", dois anos mais tarde, atingiu quase a Dupla Platina (70,000 unidades vendidas).

Em 2004, o quarto álbum de João Pedro Pais, ""Tudo Bem"", foi mais um sucesso de vendas e confirmou-o definitivamente como um dos mais bem sucedidos novos musicos portugueses. Ao vivo, João Pedro Pais foi participando em espectáculos com Luís Represas, Carlos do Carmo e Mafalda Veiga. <a href=""https://www.last.fm/music/+noredirect/Jo%C3%A3o+Pedro+Pais"">Read more on Last.fm</a>","Pólo Norte, Delfins, Mafalda Veiga, Pedro Abrunhosa, Mafalda Veiga e João Pedro Pais"
Claudio Taddei,19682,2155,"Claudio Taddei (Minas, Lavalleja, Uruguay, 22 December 1966 - 9 August 2019 ) was a Swiss-Uruguayan musician and artist.

 <a href=""https://www.last.fm/music/Claudio+Taddei"">Read more on Last.fm</a>","La Tabaré Riverock Banda, Vinilo, La Tabaré, Los Mareados, La Triple Nelson"
Vesterinen yhtyeineen,503480,18260,"Vesterinen yhtyeineen (Vesterinen with his band) is a Finnish group consisting of Jokinen, Kivimäki, Piha, Riionheimo, Enqvist and Vesterinen. They released their first album Jönköping on August 26th 2009. Their singles include Mitä tapahtui Hokkasen Timolle?, Kukaan ei koskaan and Emmanuelle. <a href=""https://www.last.fm/music/Vesterinen+yhtyeineen"">Read more on Last.fm</a>","Arttu Wiskari, BEHM, Neljä Ruusua, Haloo Helsinki!, Juha Tapio"
Hermitage Green,81657,9222,"Hermitage Green are an Irish acoustic folk rock band. Formed in July 2010, Hermitage Green have earned a name for themselves in the Limerick music scene. Hermitage Green have spent the last couple of years touring and selling out shows in Ireland, the UK, and Australia.
Hermitage Green signed with Sony Music Ireland in 2015 and began work on their first studio album.[ <a href=""https://www.last.fm/music/Hermitage+Green"">Read more on Last.fm</a>","The Whistlin' Donkeys, KeyWest, True Tides, Chasing Abbey, The Stunning"
Nerd Connection,440551,33706,"𝗕𝗶𝗼𝗴𝗿𝗮𝗽𝗵𝘆
a-four-man band consists of vocalist Yeongjoo, drummer Yeontae, guitarist Seungwon, and bassist Jaehyun.
3 engineering student + taekwondo instructor
They debuted at 14-08-2018 with their first single 《Hymn of the birds》
The band's name came from a site called bandnamemaker, Seungwon send it to the chatroom and that was how it decided.
In 2018, they won the Emergenza world band festival and made it to Taubertal festival in Germany. <a href=""https://www.last.fm/music/Nerd+Connection"">Read more on Last.fm</a>","데이먼스 이어 Damons year, JANNABI, Car, The Garden, 1415, 검정치마"
Motionless In White,41764784,696595,"Motionless in White is an American alternative metal band from Scranton, Pennsylvania. Formed in 2005, the band currently consists of founder Chris ""Motionless"" Cerulli (lead vocals), Ricky ""Horror"" Olson (rhythm guitar), Justin Morrow (bass), Ryan Sitkowski (lead guitar), and Vinny Mauro (drums). The band has stated that their band name is from the Eighteen Visions song, ""Motionless and White"". Motionless In White has gothic, horror themed lyrics and a gothic rock and sometimes industrial metal sound, goth appearances, and their intense gigs. <a href=""https://www.last.fm/music/Motionless+in+White"">Read more on Last.fm</a>","Ice Nine Kills, Bad Omens, Black Veil Brides, Dark Divine, The Plot in You"
Wind Rose,3107766,142739," Wind Rose is an Italian metal band. Its music style varied from progressive metal on early albums to folk metal on the latest, while also featuring symphonic power metal influence. The band's lyrics are inspired by fantasy fiction, with especial emphasis on mythological dwarves.

The name ""Wind Rose"" was chosen by Claudio, Daniele and Federico, the founding members of the band. They started practicing together in 2007 as a Dream Theater, Symphony X and Blind Guardian cover band, playing in a lot of live shows. <a href=""https://www.last.fm/music/Wind+Rose"">Read more on Last.fm</a>","Gloryhammer, Brothers of Metal, Powerwolf, Orden Ogan, Alestorm"
Beast In Black,8185935,162578,"After leaving heavy metal band Battle Beast, guitarist Anton Kabanen formed Beast in Black in 2015 and released their much anticipated debut album Berserker in 2017. <a href=""https://www.last.fm/music/Beast+in+Black"">Read more on Last.fm</a>","Battle Beast, Dynazty, Brothers of Metal, Bloodbound, Gloryhammer"
I Prevail,22474271,455628,"I Prevail is an American post-hardcore/metalcore band formed in Southfield, Michigan, in 2013. They released their first EP „Heart vs Mind” a year later. Their rise to popularity came after releasing a cover of Taylor Swift’s Blank Space (also in 2014), which ended up reaching certified platinum in the US. Since then, the band has released three albums:
- Lifelines in 2016, which reached #15 on the Billboard 200,
- Trauma in 2019, which became their most successful album yet - receiving both a Best Rock Album Grammy nomination <a href=""https://www.last.fm/music/I+Prevail"">Read more on Last.fm</a>","Wage War, Beartooth, Memphis May Fire, Catch Your Breath, We Came as Romans"
Celtian,164932,6267,"Celtian is a folk metal band from Spain founded in 2017 by the flautist Diego Palacio, and led on vocals by the singer Xana Lavey. Their sound is strongly inspired by bands that mix Heavy metal with folk music European as Wizard of Oz, Saurom, , among others. Eluveitie <a href=""https://www.last.fm/music/Celtian"">Read more on Last.fm</a>","Saurom, Warcry, Mägo de Oz, Saratoga, Tierra Santa"
Sabaton,76842122,720811,"Sabaton is a Swedish heavy metal band from Falun, Sweden. The vast majority of their albums are written about historical events, mainly wars and significant battles. Sabaton has been referred to as one of the ""big four"" power metal bands, along with Helloween, Blind Guardian and DragonForce. They are one of the most successful metal bands in Swedish history, with their album Carolus Rex being the best-selling Swedish heavy metal album of all time. <a href=""https://www.last.fm/music/Sabaton"">Read more on Last.fm</a>","Powerwolf, Civil War, Beast in Black, Brothers of Metal, Gloryhammer"
Archivo Adxunto,3958,652,"Punk band from Spain <a href=""https://www.last.fm/music/Archivo+Adxunto"">Read more on Last.fm</a>","Me fritos and the gimme cheetos, Free City, Dakidarría, No Konforme, Kaos etíliko"
Slaughter to Prevail,7263799,193341,"𝗦𝗹𝗮𝘂𝗴𝗵𝘁𝗲𝗿 𝘁𝗼 𝗣𝗿𝗲𝘃𝗮𝗶𝗹 is a Russian Deathcore (early)/Modern Deathcore band. Originally formed in 2014 in Yekaterinburg, and now based in Orlando, Florida.
The group debuted with an EP titled Chapters of Misery in 2015 and followed up two years later with a full-length album, Misery Sermon. Their second album, Kostolom, released in 2021. The band is currently signed to Sumerian Records.

Discography: <a href=""https://www.last.fm/music/Slaughter+To+Prevail"">Read more on Last.fm</a>",
Municipal Waste,14491742,362131,"Municipal Waste is a crossover thrash band from Richmond, USA, formed in 2000. To date, the band has released six studio albums, three EPs and four splits. They have gone through several line-up changes, leaving vocalist Tony Foresta and guitarist Ryan Waste as the only constant members. In addition to Foresta and Waste, their current lineup includes Nick ""Nikropolis"" Poulos on guitar, Philip ""Landphil"" Hall on bass and Dave Witte on drums. 

 Municipal Waste played their first show at a Richmond New Year's Eve Keg party in 2000/2001. <a href=""https://www.last.fm/music/Municipal+Waste"">Read more on Last.fm</a>","Iron Reagan, Gama Bomb, Toxic Holocaust, Violator, D.R.I."
Gloryhammer,5896149,128254,"Gloryhammer is a British power metal band founded by keyboardist Christopher Bowes, the lead vocalist of the band Alestorm. Each member of the band represents a character in the story concept. Band members appear on stage in armor and costumes to represent their respective characters. They released their debut album, ""Tales from the Kingdom of Fife,"" through Napalm Records on 29 March 2013. Prior to the album's release, the single ""Angus McFife"" was released through Napalm's YouTube channel on 7 March 2013. <a href=""https://www.last.fm/music/Gloryhammer"">Read more on Last.fm</a>","Angus McSix, Brothers of Metal, Alestorm, Beast in Black, Bloodbound"
Bad Omens,50818636,531159,"Bad Omens is an American metal band formed in 2015 in Richmond, Virginia by vocalist and producer Noah Sebastian, (then) guitarist Nicholas Ruffilo and bassist Vincent Riquier.

The current lineup of the band includes: Noah Sebastian (lead vocals, programming), Nicholas Ruffilo (bass, backing vocals), Joakim Karlsson (lead guitar, programming, backing vocals and rythm guitar) and Nick Folio (drums and percussions).

History
The first idea to form the band came in 2013 when Noah Sebastian, then guitarist of a Washington D. <a href=""https://www.last.fm/music/Bad+Omens"">Read more on Last.fm</a>","Bring Me the Horizon, Sleep Token, Motionless in White, Dayseeker, The Plot in You"
Free City,38382,2180," <a href=""https://www.last.fm/music/Free+City"">Read more on Last.fm</a>","Onza, Sinaia, Me fritos and the gimme cheetos, NoProcede, No Konforme"
Avantasia,27770621,437572,"Avantasia is a German supergroup metal opera project created by Tobias Sammet, vocalist of the band Edguy. It has been characterized as a rock opera, as it features the contributions of various vocalists and musicians and it consists of concept albums. Conceived in 1999 as studio-only, two-album project, Avantasia has since released seven other studio albums and has toured the world multiple times. It can be divided into four periods of activity. The first <a href=""https://www.last.fm/music/Avantasia"">Read more on Last.fm</a>","Edguy, Sonata Arctica, Masterplan, Stratovarius, HammerFall"
Kublai Khan TX,8055603,265433,"Kublai Khan TX is an American groove metal/metalcore band from Sherman, Texas, previously called Kublai Khan. The group formed in the summer of 2009 and have released four full-length albums. Kublai Khan self-released their first EP, Youth War in 2010. In February 2014, Kublai Khan signed to Artery Recordings. On April 29, 2014, the band released their debut full-length album titled Balancing Survival and Happiness. The album was listed in Alternative Press's ""The Best Albums Of 2014 so far"" list. <a href=""https://www.last.fm/music/Kublai+Khan+TX"">Read more on Last.fm</a>","Knocked Loose, Boundaries, Thrown, PALEFACE SWISS, Varials"
Avalanch,1918623,63907,"Avalanch is a heavy/power metal band formed in Asturias, Spain in 1993.

Led by composer, producer and guitar player Alberto Rionda, the band has released 6 studio albums, plus a handful of compilations, DVDs and English versions of their works.

The Asturian band Avalanch takes to one long trajectory combining Heavy Metal of its beginnings with a more modern rock of doubtless metallic influence in the present, incorporating to its music elements of hard rock, pop and folk. <a href=""https://www.last.fm/music/Avalanch"">Read more on Last.fm</a>","Tierra Santa, Warcry, Saratoga, Saurom, Dragonfly"
Eluveitie,42523070,472506,"Eluveitie is a folk metal band from Winterthur, Switzerland. The founder of this band was Chrigel Glanzmann. The band formed in 2002 and their first EP, ""Vên"" came out in 2003. They describe themselves as ""The new wave of folk metal"". The band then released a full-length album, ""Spirit"" in June 2006. In November 2007, Eluveitie was signed by Nuclear Blast. The first product of the collaboration, ""Slania"", was released in February 2008. The album peaked at number 35 in the Swiss charts and number 72 in the German charts. <a href=""https://www.last.fm/music/Eluveitie"">Read more on Last.fm</a>","Ensiferum, Equilibrium, Korpiklaani, Cruachan, Cellar Darling"
